order_item_id,order_id,product_id,quantity,unit_price,discount_rate,customer_id,store_id,employee_id,order_date,channel,promotion_id,order_status,category,subcategory,supplier_id,unit_cost,gross_sales,cost,gross_profit,margin_pct
1,1,144,3,113.78,0.15,460,10,46,2024-04-12,Store,2.0,Completed,Sports,Cycling,12,88.67,341.34000000000003,266.01,75.33000000000004,0.220689049042011
2,1,176,1,17.94,0.2,460,10,46,2024-04-12,Store,2.0,Completed,Beauty,Fragrance,11,10.14,17.94,10.14,7.800000000000001,0.43478260869565216
3,2,70,3,300.79,0.15,214,9,2,2024-10-31,Mobile,10.0,Completed,Home,Decor,11,190.94,902.3700000000001,572.8199999999999,329.5500000000002,0.3652049602712858
4,2,140,1,237.0,0.15,214,9,2,2024-10-31,Mobile,10.0,Completed,Sports,Cycling,23,218.04,237.0,218.04,18.960000000000008,0.08000000000000003
5,2,126,2,48.24,0.15,214,9,2,2024-10-31,Mobile,10.0,Completed,Sports,Cycling,3,32.03,96.48,64.06,32.42,0.33602819237147596
6,2,53,3,105.85,0.25,214,9,2,2024-10-31,Mobile,10.0,Completed,Home,Decor,19,74.95,317.54999999999995,224.85000000000002,92.69999999999993,0.2919225318847424
7,3,156,2,151.29,0.0,871,4,6,2024-03-06,Mobile,,Cancelled,Beauty,Fragrance,6,105.56,302.58,211.12,91.45999999999998,0.3022671690131535
8,4,106,3,197.56,0.25,1079,8,5,2025-09-01,Online,6.0,Completed,Apparel,Accessories,10,141.36,592.6800000000001,424.08000000000004,168.60000000000002,0.2844705405952622
9,5,8,3,76.38,0.1,85,5,42,2025-04-17,Mobile,4.0,Completed,Electronics,Monitors,4,44.34,229.14,133.02,96.11999999999998,0.4194815396700706
10,5,125,4,39.57,0.1,85,5,42,2025-04-17,Mobile,4.0,Completed,Sports,Outdoor,7,20.78,158.28,83.12,75.16,0.47485468789486984
11,6,11,4,178.74,0.25,7,7,18,2025-12-15,Store,1.0,Completed,Electronics,Laptops,21,127.54,714.96,510.16,204.8,0.28644959158554323
12,6,127,4,98.03,0.25,7,7,18,2025-12-15,Store,1.0,Completed,Sports,Cycling,21,101.66,392.12,406.64,-14.519999999999982,-0.03702948077119245
13,6,38,4,197.17,0.25,7,7,18,2025-12-15,Store,1.0,Completed,Home,Decor,17,167.39,788.68,669.56,119.12,0.15103717604097988
14,6,129,4,138.47,0.25,7,7,18,2025-12-15,Store,1.0,Completed,Sports,Cycling,18,82.86,553.88,331.44,222.44,0.40160323535783926
15,6,69,1,41.05,0.25,7,7,18,2025-12-15,Store,1.0,Completed,Home,Furniture,6,24.05,41.05,24.05,16.999999999999996,0.4141291108404384
16,7,132,2,122.1,0.35,237,8,29,2025-10-25,Store,1.0,Cancelled,Sports,Team Sports,13,138.84,244.2,277.68,-33.48000000000002,-0.13710073710073717
17,7,56,2,159.86,0.25,237,8,29,2025-10-25,Store,1.0,Cancelled,Home,Cleaning,8,93.63,319.72,187.26,132.46000000000004,0.41430001251094717
18,7,24,3,314.53,0.25,237,8,29,2025-10-25,Store,1.0,Cancelled,Electronics,Accessories,6,183.01,943.5899999999999,549.03,394.55999999999995,0.4181477124598607
