customer_id,customer_name,segment,city,state,signup_date,acquisition_channel
1,Customer 0001,Consumer,Philadelphia,PA,2025-03-19,Email
2,Customer 0002,Consumer,Boston,MA,2025-01-18,Direct
3,Customer 0003,Consumer,Newark,NJ,2023-06-26,Email
4,Customer 0004,Consumer,Newark,NJ,2025-05-19,Direct
5,Customer 0005,Consumer,Buffalo,NY,2023-05-07,Social
6,Customer 0006,Consumer,Buffalo,NY,2023-04-06,Search
7,Customer 0007,Consumer,Pittsburgh,PA,2023-10-23,Direct
8,Customer 0008,Consumer,Allentown,PA,2024-01-06,Direct
9,Customer 0009,Consumer,Jersey City,NJ,2023-07-19,Email
10,Customer 0010,Consumer,Boston,MA,2024-02-26,Direct
11,Customer 0011,Consumer,Stamford,CT,2025-08-11,Social
12,Customer 0012,Small Business,Pittsburgh,PA,2024-05-23,Search
13,Customer 0013,Consumer,Rochester,NY,2025-12-11,Referral
14,Customer 0014,Consumer,Stamford,CT,2023-05-30,Social
15,Customer 0015,Corporate,Jersey City,NJ,2023-11-08,Social
16,Customer 0016,Consumer,New York,NY,2024-10-04,Referral
17,Customer 0017,Consumer,Worcester,MA,2025-07-23,Email
18,Customer 0018,Consumer,Pittsburgh,PA,2023-05-14,Referral
19,Customer 0019,Consumer,Springfield,MA,2025-07-01,Social
20,Customer 0020,Consumer,Philadelphia,PA,2025-08-03,Direct
21,Customer 0021,Consumer,Albany,NY,2023-05-01,Referral
22,Customer 0022,Consumer,Edison,NJ,2024-05-22,Social
23,Customer 0023,Consumer,Buffalo,NY,2025-07-08,Referral
24,Customer 0024,Consumer,Jersey City,NJ,2024-07-24,Referral
25,Customer 0025,Consumer,Hartford,CT,2023-11-06,Search
26,Customer 0026,Consumer,Edison,NJ,2024-04-22,Direct
27,Customer 0027,Consumer,Jersey City,NJ,2024-07-31,Social
28,Customer 0028,Corporate,Worcester,MA,2024-10-14,Direct
29,Customer 0029,Consumer,Springfield,MA,2023-04-21,Direct
30,Customer 0030,Consumer,Stamford,CT,2025-03-28,Social
31,Customer 0031,Consumer,Hartford,CT,2024-01-26,Search
32,Customer 0032,Consumer,Hartford,CT,2023-08-14,Email
33,Customer 0033,Consumer,New York,NY,2023-11-06,Referral
34,Customer 0034,Small Business,Boston,MA,2023-05-25,Direct
35,Customer 0035,Corporate,Hartford,CT,2024-05-31,Direct
36,Customer 0036,Consumer,Pittsburgh,PA,2023-09-09,Social
37,Customer 0037,Consumer,Stamford,CT,2025-09-17,Search
38,Customer 0038,Consumer,Rochester,NY,2024-06-26,Search
39,Customer 0039,Corporate,Boston,MA,2024-02-25,Direct
40,Customer 0040,Small Business,Philadelphia,PA,2023-02-25,Referral
41,Customer 0041,Consumer,Rochester,NY,2025-11-27,Search
42,Customer 0042,Consumer,Philadelphia,PA,2025-12-26,Direct
43,Customer 0043,Consumer,Allentown,PA,2024-04-01,Search
44,Customer 0044,Consumer,Jersey City,NJ,2024-04-09,Social
45,Customer 0045,Corporate,Allentown,PA,2023-03-01,Referral
46,Customer 0046,Consumer,Stamford,CT,2024-02-01,Referral
47,Customer 0047,Corporate,New Haven,CT,2024-12-16,Referral
48,Customer 0048,Consumer,Buffalo,NY,2023-07-29,Search
49,Customer 0049,Consumer,Philadelphia,PA,2025-09-15,Direct
50,Customer 0050,Small Business,Albany,NY,2024-12-05,Email
51,Customer 0051,Consumer,Albany,NY,2024-02-13,Search
52,Customer 0052,Consumer,New Haven,CT,2024-11-11,Social
53,Customer 0053,Small Business,Stamford,CT,2023-06-23,Search
54,Customer 0054,Consumer,Newark,NJ,2023-11-06,Social
55,Customer 0055,Consumer,Edison,NJ,2025-08-29,Referral
56,Customer 0056,Consumer,Edison,NJ,2023-09-26,Email
57,Customer 0057,Consumer,Springfield,MA,2023-10-13,Search
58,Customer 0058,Consumer,Newark,NJ,2024-05-30,Direct
59,Customer 0059,Consumer,Edison,NJ,2024-10-29,Social
60,Customer 0060,Small Business,Newark,NJ,2024-12-25,Direct
61,Customer 0061,Consumer,Worcester,MA,2025-10-24,Search
62,Customer 0062,Small Business,Springfield,MA,2023-02-08,Search
63,Customer 0063,Consumer,Boston,MA,2023-11-03,Social
64,Customer 0064,Consumer,Springfield,MA,2023-09-04,Referral
65,Customer 0065,Small Business,Springfield,MA,2025-09-15,Email
66,Customer 0066,Consumer,Boston,MA,2024-05-23,Email
67,Customer 0067,Small Business,Albany,NY,2023-02-27,Email
68,Customer 0068,Consumer,Stamford,CT,2025-11-01,Search
69,Customer 0069,Consumer,Pittsburgh,PA,2025-11-06,Social
70,Customer 0070,Small Business,Boston,MA,2025-12-07,Referral
71,Customer 0071,Consumer,Boston,MA,2025-07-05,Email
72,Customer 0072,Consumer,Stamford,CT,2024-10-09,Search
73,Customer 0073,Consumer,Hartford,CT,2024-03-11,Email
74,Customer 0074,Consumer,Edison,NJ,2025-01-19,Search
75,Customer 0075,Consumer,Hartford,CT,2023-07-12,Social
76,Customer 0076,Consumer,Edison,NJ,2024-04-03,Social
77,Customer 0077,Consumer,Worcester,MA,2024-11-25,Referral
78,Customer 0078,Consumer,Philadelphia,PA,2025-01-19,Direct
79,Customer 0079,Consumer,Stamford,CT,2023-02-07,Direct
80,Customer 0080,Corporate,Worcester,MA,2025-11-15,Email
81,Customer 0081,Consumer,Newark,NJ,2023-06-22,Email
82,Customer 0082,Small Business,Jersey City,NJ,2023-09-23,Referral
83,Customer 0083,Small Business,Hartford,CT,2026-01-03,Direct
84,Customer 0084,Consumer,New Haven,CT,2024-10-31,Email
85,Customer 0085,Consumer,Jersey City,NJ,2023-05-29,Email
86,Customer 0086,Consumer,Rochester,NY,2023-06-21,Search
87,Customer 0087,Consumer,Rochester,NY,2023-09-07,Referral
88,Customer 0088,Consumer,Worcester,MA,2024-07-02,Email
89,Customer 0089,Corporate,Springfield,MA,2024-05-03,Search
90,Customer 0090,Consumer,Philadelphia,PA,2024-01-06,Referral
91,Customer 0091,Consumer,Allentown,PA,2024-02-26,Direct
92,Customer 0092,Small Business,Jersey City,NJ,2024-12-11,Referral
93,Customer 0093,Small Business,New York,NY,2023-02-07,Direct
94,Customer 0094,Consumer,Edison,NJ,2025-08-30,Social
95,Customer 0095,Consumer,Albany,NY,2025-10-10,Social
96,Customer 0096,Corporate,Worcester,MA,2024-03-16,Referral
97,Customer 0097,Consumer,Edison,NJ,2023-10-14,Referral
98,Customer 0098,Consumer,Buffalo,NY,2023-01-30,Referral
99,Customer 0099,Consumer,Hartford,CT,2023-04-24,Social
100,Customer 0100,Consumer,Springfield,MA,2024-07-31,Referral
101,Customer 0101,Consumer,Albany,NY,2024-01-15,Social
102,Customer 0102,Corporate,Rochester,NY,2025-01-15,Direct
103,Customer 0103,Corporate,Philadelphia,PA,2023-03-12,Referral
104,Customer 0104,Consumer,Jersey City,NJ,2024-01-10,Social
105,Customer 0105,Consumer,Albany,NY,2024-07-25,Search
106,Customer 0106,Consumer,Edison,NJ,2023-01-11,Email
107,Customer 0107,Consumer,Jersey City,NJ,2023-03-27,Referral
108,Customer 0108,Consumer,Allentown,PA,2024-04-21,Direct
109,Customer 0109,Small Business,Edison,NJ,2025-03-08,Social
110,Customer 0110,Consumer,Jersey City,NJ,2023-10-24,Direct
111,Customer 0111,Consumer,New Haven,CT,2025-11-01,Direct
112,Customer 0112,Small Business,Springfield,MA,2023-02-02,Direct
113,Customer 0113,Consumer,Newark,NJ,2023-03-05,Referral
114,Customer 0114,Consumer,Albany,NY,2025-07-13,Email
115,Customer 0115,Consumer,Springfield,MA,2024-05-15,Email
116,Customer 0116,Small Business,Hartford,CT,2025-10-27,Email
117,Customer 0117,Consumer,Boston,MA,2025-08-28,Email
118,Customer 0118,Consumer,Philadelphia,PA,2024-02-25,Social
119,Customer 0119,Consumer,Stamford,CT,2023-06-07,Referral
120,Customer 0120,Consumer,Buffalo,NY,2023-06-08,Referral
121,Customer 0121,Consumer,Allentown,PA,2024-09-15,Search
122,Customer 0122,Consumer,Albany,NY,2023-05-05,Email
123,Customer 0123,Consumer,Edison,NJ,2025-09-29,Direct
124,Customer 0124,Consumer,Pittsburgh,PA,2025-08-12,Email
125,Customer 0125,Corporate,Boston,MA,2024-09-30,Social
126,Customer 0126,Consumer,Rochester,NY,2025-07-28,Direct
127,Customer 0127,Consumer,Stamford,CT,2025-03-03,Search
128,Customer 0128,Small Business,New York,NY,2023-10-18,Referral
129,Customer 0129,Consumer,Philadelphia,PA,2025-11-07,Email
130,Customer 0130,Small Business,Philadelphia,PA,2025-10-16,Social
131,Customer 0131,Consumer,Hartford,CT,2023-11-22,Social
132,Customer 0132,Small Business,Stamford,CT,2024-09-10,Social
133,Customer 0133,Consumer,Pittsburgh,PA,2024-10-09,Referral
134,Customer 0134,Small Business,Rochester,NY,2024-11-23,Email
135,Customer 0135,Small Business,Edison,NJ,2023-01-25,Referral
136,Customer 0136,Consumer,Pittsburgh,PA,2023-05-14,Direct
137,Customer 0137,Small Business,Rochester,NY,2025-05-26,Email
138,Customer 0138,Small Business,Philadelphia,PA,2023-04-16,Referral
139,Customer 0139,Consumer,Newark,NJ,2024-06-28,Referral
140,Customer 0140,Small Business,Jersey City,NJ,2025-05-26,Social
141,Customer 0141,Consumer,Springfield,MA,2024-02-21,Email
142,Customer 0142,Consumer,Stamford,CT,2023-10-11,Referral
