employee_id,employee_name,store_id,role,hire_date,employment_type
1,Employee 001,6,Sales Associate,2020-10-16,Part-time
2,Employee 002,9,Sales Associate,2022-07-05,Full-time
3,Employee 003,5,Sales Associate,2025-08-24,Full-time
4,Employee 004,12,Sales Associate,2022-01-06,Part-time
5,Employee 005,8,Sales Associate,2022-01-16,Full-time
6,Employee 006,4,Store Manager,2022-11-06,Part-time
7,Employee 007,11,Sales Associate,2018-03-10,Part-time
8,Employee 008,9,Sales Associate,2022-01-17,Part-time
9,Employee 009,1,Sales Associate,2024-10-27,Part-time
10,Employee 010,4,Sales Associate,2023-04-19,Full-time
11,Employee 011,12,Assistant Manager,2020-02-01,Part-time
12,Employee 012,2,Sales Associate,2021-01-10,Part-time
13,Employee 013,1,Inventory Specialist,2021-10-20,Part-time
14,Employee 014,8,Sales Associate,2019-09-29,Part-time
15,Employee 015,3,Store Manager,2020-01-22,Full-time
16,Employee 016,6,Sales Associate,2025-07-26,Full-time
17,Employee 017,6,Sales Associate,2019-12-10,Full-time
18,Employee 018,7,Sales Associate,2019-09-16,Part-time
19,Employee 019,9,Sales Associate,2021-01-17,Part-time
20,Employee 020,9,Sales Associate,2024-09-04,Part-time
21,Employee 021,1,Sales Associate,2020-02-01,Part-time
22,Employee 022,1,Inventory Specialist,2019-04-13,Part-time
23,Employee 023,6,Sales Associate,2018-05-24,Full-time
24,Employee 024,4,Sales Associate,2025-07-25,Full-time
25,Employee 025,5,Sales Associate,2020-09-12,Full-time
26,Employee 026,8,Inventory Specialist,2024-06-11,Part-time
27,Employee 027,2,Sales Associate,2021-08-25,Full-time
28,Employee 028,9,Sales Associate,2020-08-30,Full-time
29,Employee 029,8,Sales Associate,2022-09-02,Part-time
30,Employee 030,1,Assistant Manager,2019-04-21,Part-time
31,Employee 031,7,Sales Associate,2022-09-27,Full-time
32,Employee 032,6,Inventory Specialist,2022-03-26,Full-time
33,Employee 033,9,Assistant Manager,2021-05-29,Part-time
34,Employee 034,8,Assistant Manager,2023-05-17,Part-time
35,Employee 035,1,Sales Associate,2022-04-07,Part-time
36,Employee 036,4,Inventory Specialist,2019-12-19,Part-time
37,Employee 037,9,Store Manager,2019-10-17,Full-time
38,Employee 038,5,Assistant Manager,2022-12-09,Full-time
39,Employee 039,5,Sales Associate,2020-05-20,Full-time
40,Employee 040,2,Sales Associate,2019-01-08,Full-time
41,Employee 041,6,Sales Associate,2022-08-08,Part-time
42,Employee 042,5,Assistant Manager,2021-11-25,Part-time
43,Employee 043,12,Sales Associate,2023-09-23,Part-time
44,Employee 044,2,Sales Associate,2024-01-26,Full-time
45,Employee 045,4,Assistant Manager,2022-01-05,Part-time
46,Employee 046,10,Inventory Specialist,2024-04-26,Part-time
47,Employee 047,5,Assistant Manager,2024-12-06,Part-time
48,Employee 048,2,Sales Associate,2023-12-20,Part-time
49,Employee 049,3,Sales Associate,2019-04-12,Part-time
50,Employee 050,3,Sales Associate,2022-01-18,Full-time
51,Employee 051,7,Sales Associate,2025-06-06,Full-time
52,Employee 052,11,Sales Associate,2022-01-17,Part-time
53,Employee 053,5,Sales Associate,2023-02-16,Full-time
54,Employee 054,6,Assistant Manager,2018-08-27,Full-time
55,Employee 055,7,Sales Associate,2021-08-06,Part-time
56,Employee 056,11,Sales Associate,2024-02-14,Part-time
57,Employee 057,4,Sales Associate,2018-10-04,Full-time
58,Employee 058,12,Sales Associate,2025-03-25,Full-time
59,Employee 059,12,Inventory Specialist,2019-12-05,Part-time
60,Employee 060,5,Inventory Specialist,2019-07-03,Part-time
61,Employee 061,12,Inventory Specialist,2019-07-06,Part-time
62,Employee 062,5,Sales Associate,2020-04-03,Full-time
63,Employee 063,11,Sales Associate,2021-08-02,Full-time
64,Employee 064,6,Sales Associate,2024-03-02,Full-time
65,Employee 065,1,Inventory Specialist,2019-03-13,Full-time
66,Employee 066,10,Inventory Specialist,2024-08-21,Full-time
67,Employee 067,5,Assistant Manager,2018-10-15,Full-time
68,Employee 068,9,Sales Associate,2024-12-08,Full-time
69,Employee 069,8,Sales Associate,2023-02-03,Full-time
70,Employee 070,3,Sales Associate,2025-02-11,Part-time
71,Employee 071,10,Sales Associate,2021-10-10,Part-time
72,Employee 072,2,Assistant Manager,2018-04-03,Full-time
73,Employee 073,1,Sales Associate,2021-04-13,Part-time
74,Employee 074,5,Assistant Manager,2018-12-24,Full-time
75,Employee 075,8,Inventory Specialist,2021-02-24,Full-time
76,Employee 076,1,Inventory Specialist,2020-07-21,Part-time
77,Employee 077,2,Store Manager,2025-06-01,Part-time
78,Employee 078,10,Inventory Specialist,2019-08-11,Part-time
79,Employee 079,12,Sales Associate,2022-03-23,Part-time
80,Employee 080,4,Store Manager,2020-06-21,Part-time
81,Employee 081,5,Inventory Specialist,2023-09-22,Full-time
82,Employee 082,3,Inventory Specialist,2022-06-11,Full-time
83,Employee 083,4,Sales Associate,2022-12-07,Part-time
84,Employee 084,8,Sales Associate,2023-08-16,Part-time
85,Employee 085,1,Inventory Specialist,2022-01-02,Part-time
86,Employee 086,4,Sales Associate,2023-07-26,Part-time
87,Employee 087,3,Sales Associate,2019-09-24,Part-time
88,Employee 088,3,Sales Associate,2023-09-07,Full-time
89,Employee 089,4,Inventory Specialist,2020-10-15,Part-time
90,Employee 090,10,Assistant Manager,2019-01-22,Part-time
