store_id,product_id,quantity_on_hand,reorder_point,target_stock,snapshot_date
1,1,65,9,77,2025-12-31
1,2,26,23,49,2025-12-31
1,3,35,20,48,2025-12-31
1,4,42,24,77,2025-12-31
1,5,20,22,42,2025-12-31
1,6,35,22,71,2025-12-31
1,7,34,14,79,2025-12-31
1,8,3,9,18,2025-12-31
1,9,53,11,53,2025-12-31
1,10,45,25,64,2025-12-31
1,11,23,10,20,2025-12-31
1,12,31,22,63,2025-12-31
1,13,44,23,65,2025-12-31
1,14,30,9,25,2025-12-31
1,15,30,17,58,2025-12-31
1,16,8,11,79,2025-12-31
1,17,44,17,37,2025-12-31
1,18,37,19,59,2025-12-31
1,19,39,25,40,2025-12-31
1,20,7,20,35,2025-12-31
1,21,64,16,37,2025-12-31
1,22,37,15,20,2025-12-31
1,23,28,21,46,2025-12-31
1,24,71,10,67,2025-12-31
1,25,34,14,38,2025-12-31
1,26,8,18,64,2025-12-31
1,27,27,17,16,2025-12-31
1,28,0,19,50,2025-12-31
1,29,53,8,22,2025-12-31
1,30,27,16,38,2025-12-31
1,31,21,11,47,2025-12-31
1,32,54,23,37,2025-12-31
1,33,5,22,50,2025-12-31
1,34,44,24,80,2025-12-31
1,35,0,13,69,2025-12-31
1,36,23,13,76,2025-12-31
1,37,13,25,63,2025-12-31
1,38,61,21,28,2025-12-31
1,39,66,12,23,2025-12-31
1,40,29,24,24,2025-12-31
1,41,50,22,17,2025-12-31
1,42,31,14,29,2025-12-31
1,43,45,13,62,2025-12-31
1,44,21,22,64,2025-12-31
1,45,4,11,57,2025-12-31
1,46,2,10,36,2025-12-31
1,47,41,25,20,2025-12-31
1,48,75,12,40,2025-12-31
1,49,39,14,55,2025-12-31
1,50,25,21,37,2025-12-31
1,51,69,25,52,2025-12-31
1,52,39,9,69,2025-12-31
1,53,36,10,78,2025-12-31
1,54,39,17,28,2025-12-31
1,55,32,10,46,2025-12-31
1,56,29,18,46,2025-12-31
1,57,9,8,42,2025-12-31
1,58,44,12,23,2025-12-31
1,59,33,16,20,2025-12-31
1,60,56,9,69,2025-12-31
1,61,28,16,41,2025-12-31
1,62,0,12,77,2025-12-31
1,63,33,14,74,2025-12-31
1,64,65,11,50,2025-12-31
1,65,28,21,41,2025-12-31
1,66,18,17,55,2025-12-31
1,67,13,19,44,2025-12-31
1,68,16,10,78,2025-12-31
1,69,29,23,21,2025-12-31
1,70,13,18,58,2025-12-31
1,71,61,8,59,2025-12-31
1,72,29,12,32,2025-12-31
1,73,36,15,62,2025-12-31
1,74,60,17,40,2025-12-31
1,75,62,14,58,2025-12-31
1,76,31,16,39,2025-12-31
1,77,40,8,29,2025-12-31
1,78,48,23,52,2025-12-31
1,79,31,15,61,2025-12-31
1,80,2,8,48,2025-12-31
1,81,46,8,73,2025-12-31
1,82,51,15,76,2025-12-31
1,83,42,22,37,2025-12-31
1,84,18,12,72,2025-12-31
1,85,31,18,60,2025-12-31
1,86,24,14,69,2025-12-31
1,87,29,16,74,2025-12-31
1,88,58,10,26,2025-12-31
1,89,62,22,16,2025-12-31
1,90,47,20,22,2025-12-31
1,91,44,8,23,2025-12-31
1,92,47,21,48,2025-12-31
1,93,34,19,43,2025-12-31
1,94,33,14,61,2025-12-31
1,95,22,11,38,2025-12-31
1,96,33,19,37,2025-12-31
1,97,75,24,23,2025-12-31
1,98,50,18,26,2025-12-31
1,99,28,16,35,2025-12-31
1,100,26,16,70,2025-12-31
1,101,19,16,44,2025-12-31
1,102,41,13,64,2025-12-31
1,103,42,20,37,2025-12-31
1,104,9,10,26,2025-12-31
1,105,43,15,71,2025-12-31
1,106,24,20,53,2025-12-31
1,107,60,16,24,2025-12-31
1,108,37,17,77,2025-12-31
1,109,65,13,31,2025-12-31
1,110,26,15,35,2025-12-31
1,111,29,22,44,2025-12-31
1,112,40,8,16,2025-12-31
1,113,54,9,53,2025-12-31
1,114,45,21,22,2025-12-31
1,115,12,18,58,2025-12-31
1,116,38,8,24,2025-12-31
1,117,35,14,20,2025-12-31
1,118,27,18,15,2025-12-31
1,119,23,13,32,2025-12-31
1,120,66,14,41,2025-12-31
1,121,27,12,45,2025-12-31
1,122,19,20,49,2025-12-31
1,123,46,19,70,2025-12-31
1,124,37,10,44,2025-12-31
1,125,33,19,76,2025-12-31
1,126,49,23,78,2025-12-31
1,127,43,19,42,2025-12-31
1,128,41,14,38,2025-12-31
1,129,52,9,53,2025-12-31
1,130,40,15,80,2025-12-31
1,131,23,10,67,2025-12-31
1,132,28,8,28,2025-12-31
1,133,25,22,53,2025-12-31
1,134,38,15,69,2025-12-31
1,135,15,11,37,2025-12-31
1,136,2,14,34,2025-12-31
1,137,36,8,56,2025-12-31
1,138,10,17,37,2025-12-31
1,139,0,12,36,2025-12-31
1,140,41,22,21,2025-12-31
1,141,22,15,37,2025-12-31
1,142,43,20,36,2025-12-31
1,143,25,13,17,2025-12-31
1,144,14,9,71,2025-12-31
1,145,12,20,44,2025-12-31
1,146,25,12,32,2025-12-31
1,147,30,14,50,2025-12-31
1,148,20,25,23,2025-12-31
1,149,29,19,61,2025-12-31
1,150,7,16,78,2025-12-31
1,151,35,21,54,2025-12-31
1,152,2,15,33,2025-12-31
1,153,31,20,71,2025-12-31
1,154,47,12,22,2025-12-31
1,155,54,23,48,2025-12-31
1,156,65,24,61,2025-12-31
1,157,6,22,60,2025-12-31
1,158,48,8,63,2025-12-31
1,159,56,14,52,2025-12-31
1,160,52,11,36,2025-12-31
1,161,18,24,61,2025-12-31
1,162,42,15,50,2025-12-31
1,163,68,22,49,2025-12-31
1,164,8,17,36,2025-12-31
1,165,43,15,77,2025-12-31
1,166,55,19,53,2025-12-31
1,167,22,17,29,2025-12-31
1,168,45,19,42,2025-12-31
1,169,15,12,35,2025-12-31
1,170,20,13,49,2025-12-31
1,171,20,24,45,2025-12-31
1,172,38,25,77,2025-12-31
1,173,33,19,78,2025-12-31
1,174,52,17,51,2025-12-31
1,175,18,19,40,2025-12-31
1,176,32,10,41,2025-12-31
1,177,52,22,45,2025-12-31
1,178,45,22,33,2025-12-31
1,179,11,17,25,2025-12-31
1,180,46,18,19,2025-12-31
2,1,26,21,71,2025-12-31
2,2,41,25,33,2025-12-31
2,3,40,15,51,2025-12-31
2,4,56,22,34,2025-12-31
2,5,37,21,68,2025-12-31
2,6,1,21,15,2025-12-31
2,7,10,16,61,2025-12-31
2,8,48,16,53,2025-12-31
2,9,30,22,67,2025-12-31
2,10,55,10,59,2025-12-31
2,11,39,8,43,2025-12-31
2,12,21,13,24,2025-12-31
2,13,54,21,22,2025-12-31
2,14,20,18,63,2025-12-31
2,15,0,12,62,2025-12-31
2,16,72,21,47,2025-12-31
2,17,0,14,36,2025-12-31
2,18,46,14,79,2025-12-31
2,19,51,15,15,2025-12-31
2,20,37,10,64,2025-12-31
2,21,4,20,40,2025-12-31
2,22,53,20,78,2025-12-31
2,23,9,9,53,2025-12-31
2,24,10,25,37,2025-12-31
2,25,28,10,17,2025-12-31
2,26,49,8,38,2025-12-31
2,27,40,25,45,2025-12-31
2,28,49,12,31,2025-12-31
2,29,27,25,56,2025-12-31
2,30,31,20,41,2025-12-31
2,31,14,15,29,2025-12-31
2,32,29,8,18,2025-12-31
2,33,45,13,26,2025-12-31
2,34,29,16,55,2025-12-31
2,35,43,15,16,2025-12-31
2,36,24,18,54,2025-12-31
2,37,24,16,71,2025-12-31
2,38,35,13,62,2025-12-31
2,39,31,16,64,2025-12-31
2,40,45,14,62,2025-12-31
2,41,38,19,44,2025-12-31
2,42,66,25,48,2025-12-31
2,43,31,20,32,2025-12-31
2,44,30,12,72,2025-12-31
2,45,16,14,63,2025-12-31
2,46,35,8,50,2025-12-31
2,47,47,25,68,2025-12-31
2,48,21,17,34,2025-12-31
2,49,34,14,25,2025-12-31
2,50,47,12,17,2025-12-31
2,51,32,13,76,2025-12-31
2,52,25,20,49,2025-12-31
2,53,52,20,24,2025-12-31
2,54,36,24,59,2025-12-31
2,55,42,21,24,2025-12-31
2,56,56,19,17,2025-12-31
2,57,55,22,78,2025-12-31
2,58,28,14,75,2025-12-31
2,59,25,13,42,2025-12-31
2,60,40,16,21,2025-12-31
2,61,32,10,20,2025-12-31
2,62,0,15,22,2025-12-31
2,63,57,22,75,2025-12-31
2,64,35,21,64,2025-12-31
2,65,48,23,39,2025-12-31
2,66,13,19,59,2025-12-31
2,67,58,14,53,2025-12-31
2,68,24,21,63,2025-12-31
2,69,33,13,15,2025-12-31
2,70,9,18,76,2025-12-31
2,71,31,17,77,2025-12-31
2,72,30,12,29,2025-12-31
2,73,31,25,22,2025-12-31
2,74,42,17,52,2025-12-31
2,75,36,15,26,2025-12-31
2,76,52,8,55,2025-12-31
2,77,26,16,63,2025-12-31
2,78,17,16,52,2025-12-31
2,79,34,21,37,2025-12-31
2,80,46,23,55,2025-12-31
2,81,57,24,68,2025-12-31
2,82,49,13,56,2025-12-31
2,83,3,17,22,2025-12-31
2,84,41,20,60,2025-12-31
2,85,61,15,17,2025-12-31
2,86,36,20,25,2025-12-31
2,87,25,13,59,2025-12-31
2,88,40,20,25,2025-12-31
2,89,25,17,66,2025-12-31
2,90,46,21,55,2025-12-31
2,91,34,25,40,2025-12-31
2,92,60,23,71,2025-12-31
2,93,43,13,53,2025-12-31
2,94,21,10,28,2025-12-31
2,95,45,16,33,2025-12-31
2,96,51,15,20,2025-12-31
2,97,24,13,32,2025-12-31
2,98,27,19,30,2025-12-31
2,99,0,25,76,2025-12-31
2,100,51,13,34,2025-12-31
2,101,24,13,74,2025-12-31
2,102,0,19,73,2025-12-31
2,103,3,15,54,2025-12-31
2,104,30,12,49,2025-12-31
2,105,48,23,56,2025-12-31
2,106,33,20,36,2025-12-31
2,107,43,24,53,2025-12-31
2,108,15,11,32,2025-12-31
2,109,10,22,23,2025-12-31
2,110,50,11,69,2025-12-31
2,111,43,20,32,2025-12-31
2,112,34,18,30,2025-12-31
2,113,58,10,67,2025-12-31
2,114,17,15,22,2025-12-31
2,115,27,19,24,2025-12-31
2,116,53,10,45,2025-12-31
2,117,68,9,47,2025-12-31
2,118,35,25,73,2025-12-31
2,119,65,14,28,2025-12-31
2,120,24,22,16,2025-12-31
2,121,40,22,59,2025-12-31
2,122,31,11,39,2025-12-31
2,123,6,11,60,2025-12-31
2,124,39,10,33,2025-12-31
2,125,51,13,59,2025-12-31
2,126,32,22,40,2025-12-31
2,127,33,9,72,2025-12-31
2,128,60,24,54,2025-12-31
2,129,12,17,32,2025-12-31
2,130,8,18,75,2025-12-31
2,131,23,16,33,2025-12-31
2,132,13,14,52,2025-12-31
2,133,59,24,42,2025-12-31
2,134,40,14,30,2025-12-31
2,135,19,10,26,2025-12-31
2,136,23,21,66,2025-12-31
2,137,86,21,25,2025-12-31
2,138,24,18,52,2025-12-31
2,139,21,13,80,2025-12-31
2,140,40,15,75,2025-12-31
2,141,46,25,32,2025-12-31
2,142,38,12,59,2025-12-31
2,143,18,19,43,2025-12-31
2,144,14,16,78,2025-12-31
2,145,45,19,78,2025-12-31
2,146,34,13,24,2025-12-31
2,147,5,12,22,2025-12-31
2,148,56,19,52,2025-12-31
2,149,48,22,28,2025-12-31
2,150,30,15,59,2025-12-31
2,151,30,14,41,2025-12-31
2,152,39,10,71,2025-12-31
2,153,22,20,18,2025-12-31
2,154,10,15,57,2025-12-31
2,155,40,12,29,2025-12-31
2,156,9,9,33,2025-12-31
2,157,42,16,68,2025-12-31
2,158,9,19,50,2025-12-31
2,159,33,13,71,2025-12-31
2,160,32,10,68,2025-12-31
2,161,67,21,53,2025-12-31
2,162,15,20,32,2025-12-31
2,163,9,10,58,2025-12-31
2,164,23,9,27,2025-12-31
2,165,14,19,73,2025-12-31
2,166,24,15,72,2025-12-31
2,167,42,14,19,2025-12-31
2,168,48,16,78,2025-12-31
2,169,64,11,17,2025-12-31
2,170,21,12,50,2025-12-31
2,171,82,21,65,2025-12-31
2,172,70,14,34,2025-12-31
2,173,31,20,34,2025-12-31
2,174,0,19,69,2025-12-31
2,175,33,19,30,2025-12-31
2,176,36,12,29,2025-12-31
2,177,0,22,59,2025-12-31
2,178,36,16,64,2025-12-31
2,179,31,16,34,2025-12-31
2,180,20,8,39,2025-12-31
3,1,46,8,28,2025-12-31
3,2,53,8,41,2025-12-31
3,3,26,10,39,2025-12-31
3,4,39,24,15,2025-12-31
3,5,23,24,30,2025-12-31
3,6,20,8,45,2025-12-31
3,7,36,23,58,2025-12-31
3,8,44,19,66,2025-12-31
3,9,24,10,55,2025-12-31
3,10,0,18,20,2025-12-31
3,11,45,14,71,2025-12-31
3,12,6,19,52,2025-12-31
3,13,37,14,62,2025-12-31
3,14,67,16,47,2025-12-31
3,15,34,8,56,2025-12-31
3,16,13,19,80,2025-12-31
3,17,8,13,15,2025-12-31
3,18,56,21,78,2025-12-31
3,19,34,11,19,2025-12-31
3,20,44,17,77,2025-12-31
3,21,51,21,34,2025-12-31
3,22,34,13,59,2025-12-31
3,23,29,11,75,2025-12-31
3,24,17,19,76,2025-12-31
3,25,0,8,76,2025-12-31
3,26,7,23,62,2025-12-31
3,27,33,18,70,2025-12-31
3,28,31,20,29,2025-12-31
3,29,42,23,19,2025-12-31
3,30,32,25,58,2025-12-31
3,31,37,24,30,2025-12-31
3,32,49,8,63,2025-12-31
3,33,19,21,61,2025-12-31
3,34,29,24,49,2025-12-31
3,35,6,21,71,2025-12-31
3,36,52,18,38,2025-12-31
3,37,35,10,42,2025-12-31
3,38,43,15,59,2025-12-31
3,39,62,11,68,2025-12-31
3,40,54,22,53,2025-12-31
3,41,33,14,78,2025-12-31
3,42,49,13,33,2025-12-31
3,43,9,17,46,2025-12-31
3,44,42,18,49,2025-12-31
3,45,37,24,35,2025-12-31
3,46,5,9,72,2025-12-31
3,47,59,18,24,2025-12-31
3,48,22,24,31,2025-12-31
3,49,47,20,45,2025-12-31
3,50,27,14,73,2025-12-31
3,51,52,21,43,2025-12-31
3,52,58,16,51,2025-12-31
3,53,20,15,28,2025-12-31
3,54,7,23,73,2025-12-31
3,55,32,11,20,2025-12-31
3,56,50,11,37,2025-12-31
3,57,28,17,55,2025-12-31
3,58,23,9,70,2025-12-31
3,59,43,8,49,2025-12-31
3,60,0,14,71,2025-12-31
3,61,23,22,24,2025-12-31
3,62,10,19,37,2025-12-31
3,63,40,13,46,2025-12-31
3,64,21,8,47,2025-12-31
3,65,14,24,31,2025-12-31
3,66,28,24,36,2025-12-31
3,67,8,15,73,2025-12-31
3,68,34,9,30,2025-12-31
3,69,22,20,60,2025-12-31
3,70,28,21,73,2025-12-31
3,71,22,10,80,2025-12-31
3,72,51,21,49,2025-12-31
3,73,33,24,17,2025-12-31
3,74,44,17,27,2025-12-31
3,75,43,23,76,2025-12-31
3,76,20,23,45,2025-12-31
3,77,45,25,16,2025-12-31
3,78,41,11,74,2025-12-31
3,79,40,8,55,2025-12-31
3,80,27,18,48,2025-12-31
3,81,27,19,40,2025-12-31
3,82,49,23,64,2025-12-31
3,83,74,20,34,2025-12-31
3,84,20,16,59,2025-12-31
3,85,44,21,27,2025-12-31
3,86,28,12,25,2025-12-31
3,87,49,16,40,2025-12-31
3,88,42,20,39,2025-12-31
3,89,54,21,72,2025-12-31
3,90,0,24,72,2025-12-31
3,91,24,25,58,2025-12-31
3,92,17,19,67,2025-12-31
3,93,33,24,48,2025-12-31
3,94,21,19,73,2025-12-31
3,95,23,16,19,2025-12-31
3,96,47,14,30,2025-12-31
3,97,69,12,17,2025-12-31
3,98,0,20,59,2025-12-31
3,99,29,20,70,2025-12-31
3,100,40,18,55,2025-12-31
3,101,35,13,53,2025-12-31
3,102,28,14,53,2025-12-31
3,103,10,24,78,2025-12-31
3,104,18,23,29,2025-12-31
3,105,48,20,41,2025-12-31
3,106,54,24,60,2025-12-31
3,107,36,18,33,2025-12-31
3,108,19,25,80,2025-12-31
3,109,36,8,47,2025-12-31
3,110,30,18,64,2025-12-31
3,111,44,12,57,2025-12-31
3,112,37,15,77,2025-12-31
3,113,23,22,70,2025-12-31
3,114,38,25,55,2025-12-31
3,115,13,24,28,2025-12-31
3,116,49,24,42,2025-12-31
3,117,56,10,39,2025-12-31
3,118,13,9,53,2025-12-31
3,119,42,23,22,2025-12-31
3,120,17,17,42,2025-12-31
3,121,54,15,32,2025-12-31
3,122,51,22,70,2025-12-31
3,123,30,15,64,2025-12-31
3,124,52,25,79,2025-12-31
3,125,27,12,33,2025-12-31
3,126,23,14,62,2025-12-31
3,127,24,24,58,2025-12-31
3,128,32,24,76,2025-12-31
3,129,29,16,20,2025-12-31
3,130,37,8,60,2025-12-31
3,131,23,24,77,2025-12-31
3,132,48,22,40,2025-12-31
3,133,53,8,53,2025-12-31
3,134,26,17,45,2025-12-31
3,135,9,25,20,2025-12-31
3,136,48,16,57,2025-12-31
3,137,55,22,16,2025-12-31
3,138,32,23,54,2025-12-31
3,139,11,17,55,2025-12-31
3,140,39,24,59,2025-12-31
3,141,62,24,49,2025-12-31
3,142,1,24,67,2025-12-31
3,143,43,22,61,2025-12-31
3,144,29,12,43,2025-12-31
3,145,19,15,60,2025-12-31
3,146,43,19,23,2025-12-31
3,147,11,18,41,2025-12-31
3,148,40,17,66,2025-12-31
3,149,58,14,53,2025-12-31
3,150,38,23,67,2025-12-31
3,151,19,8,80,2025-12-31
3,152,2,11,36,2025-12-31
3,153,11,18,51,2025-12-31
3,154,1,16,20,2025-12-31
3,155,63,17,31,2025-12-31
3,156,30,24,77,2025-12-31
3,157,16,11,69,2025-12-31
3,158,11,25,24,2025-12-31
3,159,15,9,67,2025-12-31
3,160,28,11,69,2025-12-31
3,161,11,15,56,2025-12-31
3,162,65,23,69,2025-12-31
3,163,21,9,33,2025-12-31
3,164,20,25,52,2025-12-31
3,165,40,25,73,2025-12-31
3,166,61,21,61,2025-12-31
3,167,58,22,47,2025-12-31
3,168,26,25,71,2025-12-31
3,169,39,8,21,2025-12-31
3,170,37,20,19,2025-12-31
3,171,44,10,33,2025-12-31
3,172,39,18,72,2025-12-31
3,173,18,11,35,2025-12-31
3,174,12,12,28,2025-12-31
3,175,38,15,24,2025-12-31
3,176,13,19,34,2025-12-31
3,177,59,23,70,2025-12-31
3,178,35,17,59,2025-12-31
3,179,16,20,43,2025-12-31
3,180,29,19,32,2025-12-31
4,1,25,19,61,2025-12-31
4,2,32,12,57,2025-12-31
4,3,52,11,32,2025-12-31
4,4,9,14,29,2025-12-31
4,5,1,9,67,2025-12-31
4,6,41,13,66,2025-12-31
4,7,31,8,58,2025-12-31
4,8,37,15,67,2025-12-31
4,9,43,14,46,2025-12-31
4,10,31,14,19,2025-12-31
4,11,49,10,36,2025-12-31
4,12,18,10,72,2025-12-31
4,13,36,20,71,2025-12-31
4,14,20,23,23,2025-12-31
4,15,14,13,51,2025-12-31
4,16,46,14,74,2025-12-31
4,17,45,17,16,2025-12-31
4,18,0,15,51,2025-12-31
4,19,14,9,73,2025-12-31
4,20,40,15,43,2025-12-31
4,21,54,13,36,2025-12-31
4,22,23,18,30,2025-12-31
4,23,31,19,71,2025-12-31
4,24,9,11,30,2025-12-31
4,25,80,12,67,2025-12-31
4,26,43,19,45,2025-12-31
4,27,51,22,25,2025-12-31
4,28,46,10,45,2025-12-31
4,29,51,17,38,2025-12-31
4,30,45,21,64,2025-12-31
4,31,28,11,49,2025-12-31
4,32,48,19,58,2025-12-31
4,33,36,23,35,2025-12-31
4,34,58,18,31,2025-12-31
4,35,21,17,80,2025-12-31
4,36,25,25,26,2025-12-31
4,37,46,21,68,2025-12-31
4,38,58,25,16,2025-12-31
4,39,37,13,71,2025-12-31
4,40,22,14,49,2025-12-31
4,41,32,21,69,2025-12-31
4,42,26,12,69,2025-12-31
4,43,69,25,77,2025-12-31
4,44,51,9,55,2025-12-31
4,45,57,19,46,2025-12-31
4,46,40,22,29,2025-12-31
4,47,25,12,35,2025-12-31
4,48,56,25,53,2025-12-31
4,49,64,18,43,2025-12-31
4,50,45,17,66,2025-12-31
4,51,34,15,76,2025-12-31
4,52,54,21,25,2025-12-31
4,53,28,12,59,2025-12-31
4,54,48,17,71,2025-12-31
4,55,22,10,24,2025-12-31
4,56,17,22,55,2025-12-31
4,57,45,25,46,2025-12-31
4,58,41,15,55,2025-12-31
4,59,69,21,79,2025-12-31
4,60,29,15,75,2025-12-31
4,61,35,21,61,2025-12-31
4,62,14,25,38,2025-12-31
4,63,1,21,40,2025-12-31
4,64,2,10,32,2025-12-31
4,65,43,18,21,2025-12-31
4,66,13,23,57,2025-12-31
4,67,55,14,80,2025-12-31
4,68,60,9,55,2025-12-31
4,69,29,23,34,2025-12-31
4,70,64,23,51,2025-12-31
4,71,39,21,55,2025-12-31
4,72,55,8,41,2025-12-31
4,73,30,15,43,2025-12-31
4,74,52,19,52,2025-12-31
4,75,18,17,79,2025-12-31
4,76,46,11,59,2025-12-31
4,77,26,13,33,2025-12-31
4,78,32,20,74,2025-12-31
4,79,46,21,51,2025-12-31
4,80,38,11,77,2025-12-31
4,81,33,23,15,2025-12-31
4,82,48,16,77,2025-12-31
4,83,49,8,74,2025-12-31
4,84,10,12,71,2025-12-31
4,85,45,19,57,2025-12-31
4,86,47,20,37,2025-12-31
4,87,21,25,63,2025-12-31
4,88,41,25,51,2025-12-31
4,89,11,10,58,2025-12-31
4,90,60,16,52,2025-12-31
4,91,30,8,61,2025-12-31
4,92,33,23,79,2025-12-31
4,93,56,9,78,2025-12-31
4,94,32,21,59,2025-12-31
4,95,45,15,80,2025-12-31
4,96,16,9,57,2025-12-31
4,97,24,9,29,2025-12-31
4,98,9,9,28,2025-12-31
4,99,31,9,62,2025-12-31
4,100,53,18,22,2025-12-31
4,101,39,15,18,2025-12-31
4,102,50,14,35,2025-12-31
4,103,16,25,56,2025-12-31
4,104,19,20,35,2025-12-31
4,105,26,19,67,2025-12-31
4,106,45,19,66,2025-12-31
4,107,41,11,78,2025-12-31
4,108,34,15,19,2025-12-31
4,109,46,21,30,2025-12-31
4,110,32,18,43,2025-12-31
4,111,34,12,34,2025-12-31
4,112,58,11,51,2025-12-31
4,113,24,15,47,2025-12-31
4,114,38,14,20,2025-12-31
4,115,64,11,76,2025-12-31
4,116,36,20,18,2025-12-31
4,117,47,23,15,2025-12-31
4,118,24,19,27,2025-12-31
4,119,70,12,40,2025-12-31
4,120,0,22,59,2025-12-31
4,121,14,19,45,2025-12-31
4,122,16,13,69,2025-12-31
4,123,64,12,54,2025-12-31
4,124,41,23,27,2025-12-31
4,125,30,25,31,2025-12-31
4,126,11,13,73,2025-12-31
4,127,41,18,53,2025-12-31
4,128,37,9,80,2025-12-31
4,129,22,10,18,2025-12-31
4,130,8,19,32,2025-12-31
4,131,15,19,27,2025-12-31
4,132,38,15,35,2025-12-31
4,133,40,24,39,2025-12-31
4,134,36,11,44,2025-12-31
4,135,32,10,48,2025-12-31
4,136,3,25,62,2025-12-31
4,137,35,25,48,2025-12-31
4,138,16,9,19,2025-12-31
4,139,35,10,26,2025-12-31
4,140,43,20,48,2025-12-31
4,141,22,12,78,2025-12-31
4,142,16,8,47,2025-12-31
4,143,52,17,24,2025-12-31
4,144,41,16,38,2025-12-31
4,145,23,20,21,2025-12-31
4,146,0,10,50,2025-12-31
4,147,34,9,57,2025-12-31
4,148,46,19,28,2025-12-31
4,149,55,12,16,2025-12-31
4,150,22,12,70,2025-12-31
4,151,23,13,63,2025-12-31
4,152,27,18,34,2025-12-31
4,153,50,9,31,2025-12-31
4,154,13,8,16,2025-12-31
4,155,32,23,76,2025-12-31
4,156,18,23,41,2025-12-31
4,157,39,24,43,2025-12-31
4,158,7,24,34,2025-12-31
