order_item_id,order_id,product_id,quantity,unit_price,discount_rate
1,1,144,3,113.78,0.15
2,1,176,1,17.94,0.2
3,2,70,3,300.79,0.15
4,2,140,1,237.0,0.15
5,2,126,2,48.24,0.15
6,2,53,3,105.85,0.25
7,3,156,2,151.29,0.0
8,4,106,3,197.56,0.25
9,5,8,3,76.38,0.1
10,5,125,4,39.57,0.1
11,6,11,4,178.74,0.25
12,6,127,4,98.03,0.25
13,6,38,4,197.17,0.25
14,6,129,4,138.47,0.25
15,6,69,1,41.05,0.25
16,7,132,2,122.1,0.35
17,7,56,2,159.86,0.25
18,7,24,3,314.53,0.25
19,7,81,2,256.28,0.25
20,7,13,4,44.8,0.25
21,8,163,2,329.02,0.1
22,8,143,4,125.75,0.15000000000000002
23,8,43,1,290.35,0.1
24,9,28,1,305.98,0.25
25,9,166,2,180.56,0.25
26,9,168,3,201.12,0.35
27,9,2,4,80.61,0.35
28,10,111,2,180.55,0.30000000000000004
29,11,156,1,121.03,0.2
30,11,5,3,324.52,0.15
31,11,102,4,242.41,0.2
32,12,14,3,110.07,0.15000000000000002
33,12,173,3,408.93,0.1
34,13,30,2,129.83,0.2
35,13,94,1,100.41,0.2
36,13,152,4,56.24,0.2
37,13,16,4,105.96,0.2
38,14,26,1,260.85,0.25
39,14,105,2,137.09,0.30000000000000004
40,15,113,2,185.4,0.2
41,16,65,4,318.85,0.30000000000000004
42,17,144,2,127.17,0.05
43,17,79,2,60.72,0.15000000000000002
44,17,69,3,46.53,0.15000000000000002
45,18,43,2,290.35,0.1
46,18,34,2,395.55,0.05
47,18,45,4,171.54,0.05
48,18,104,4,253.95,0.1
49,18,40,3,164.59,0.05
50,19,98,3,121.48,0.25
51,19,33,3,150.81,0.3
52,20,68,1,136.99,0.25
53,20,48,1,153.66,0.2
54,20,24,2,335.5,0.2
55,20,76,4,121.27,0.2
56,20,154,2,20.9,0.2
57,21,12,1,219.56,0.1
58,21,145,3,282.25,0.2
59,21,21,4,24.58,0.1
60,21,62,4,287.08,0.2
61,21,88,4,196.16,0.1
62,22,26,2,260.85,0.25
63,22,165,3,167.27,0.15
64,22,71,3,253.44,0.25
65,23,48,4,163.27,0.15
66,23,69,2,46.53,0.15
67,23,162,3,83.78,0.15
68,23,148,1,140.69,0.25
69,23,45,1,153.48,0.15
70,24,43,1,241.96,0.25
71,24,23,1,281.61,0.25
72,24,37,1,145.57,0.35
73,24,16,2,99.34,0.25
74,25,167,2,159.23,0.35
75,25,169,3,76.6,0.25
76,25,45,2,126.4,0.3
77,25,43,4,225.83,0.3
78,26,104,3,211.63,0.25
79,26,136,3,175.59,0.35
80,27,31,3,46.06,0.30000000000000004
81,27,25,2,18.65,0.2
82,27,83,4,307.94,0.2
83,27,138,1,144.34,0.2
84,27,47,4,69.1,0.2
85,28,167,2,195.98,0.2
86,28,118,1,288.01,0.15
87,28,78,3,258.24,0.25
88,29,142,3,259.05,0.3
89,29,71,2,253.44,0.25
90,29,79,1,53.58,0.25
91,30,143,1,118.35,0.2
92,30,64,1,187.89,0.2
93,30,173,4,318.06,0.30000000000000004
94,30,178,1,40.26,0.2
95,31,39,2,171.71,0.25
96,31,148,4,150.06,0.2
97,31,72,1,96.57,0.15
98,31,175,3,99.12,0.15
99,31,144,4,113.78,0.15
100,32,154,3,24.81,0.05
101,32,126,2,53.91,0.05
102,32,87,4,90.7,0.1
103,32,96,1,320.2,0.1
104,32,12,1,219.56,0.1
105,33,114,4,25.66,0.25
106,34,106,1,210.73,0.2
107,35,62,2,322.97,0.1
108,35,6,4,50.27,0.1
109,36,77,2,370.63,0.25
110,36,117,4,54.31,0.2
111,36,103,1,116.7,0.2
112,36,120,3,277.44,0.2
113,36,163,1,274.19,0.25
114,37,2,3,99.22,0.2
115,37,100,1,241.06,0.2
116,37,85,3,80.71,0.2
117,38,81,2,307.54,0.1
118,38,27,1,109.88,0.0
119,38,56,4,191.84,0.1
120,38,67,3,349.93,0.0
121,38,137,1,66.35,0.0
122,39,98,3,161.98,0.0
123,39,89,4,133.92,0.0
124,39,76,3,151.59,0.0
125,39,95,1,379.49,0.1
126,39,16,2,119.2,0.1
127,40,179,3,84.41,0.25
128,40,26,2,260.85,0.25
129,40,118,4,254.12,0.25
130,40,46,3,36.69,0.35
131,40,88,4,163.47,0.25
132,41,139,1,362.95,0.1
133,42,50,1,21.79,0.1
134,42,140,2,250.94,0.1
135,42,66,4,95.51,0.2
136,42,174,2,312.16,0.1
137,43,61,2,233.22,0.1
138,43,28,4,407.97,0.0
139,43,20,2,140.95,0.0
140,44,81,4,256.28,0.25
141,44,103,4,109.4,0.25
142,44,83,4,269.45,0.3
143,44,48,1,144.06,0.25
144,45,22,4,81.82,0.15000000000000002
145,45,121,4,388.21,0.1
146,46,41,3,152.15,0.25
147,46,58,2,235.97,0.25
148,46,115,4,281.08,0.35
149,46,127,4,84.96,0.35
150,46,167,2,183.73,0.25
151,47,47,4,73.42,0.15000000000000002
152,47,1,4,230.09,0.1
153,47,149,1,136.47,0.2
154,47,111,2,232.14,0.1
155,48,54,3,126.65,0.25
156,48,50,3,20.58,0.15
157,48,2,2,105.42,0.15
158,49,100,4,225.99,0.25
159,50,10,2,437.34,0.1
160,50,81,3,290.45,0.15000000000000002
161,50,120,1,329.46,0.05
162,50,88,3,207.06,0.05
163,50,18,1,116.29,0.1
164,51,69,1,41.05,0.25
165,52,31,3,52.64,0.2
166,52,1,4,204.53,0.2
167,53,60,2,216.28,0.0
168,53,84,3,288.35,0.05
169,54,134,1,109.11,0.2
170,54,87,4,80.62,0.2
171,54,116,2,318.38,0.2
172,55,20,1,105.71,0.25
173,55,28,3,265.18,0.35
174,55,32,4,99.61,0.25
175,55,23,1,281.61,0.25
176,56,102,2,242.41,0.2
177,56,89,2,107.14,0.2
178,56,162,4,78.85,0.2
179,56,115,3,302.7,0.30000000000000004
180,57,148,3,168.82,0.1
181,57,139,2,362.95,0.1
182,57,29,2,258.36,0.1
183,58,53,4,119.96,0.15
184,58,67,2,297.44,0.15
185,58,35,4,45.98,0.15
186,58,93,3,208.62,0.15
187,59,21,4,20.48,0.25
188,59,169,2,76.6,0.25
189,60,48,2,124.85,0.35
190,60,159,4,219.62,0.35
191,60,18,1,96.91,0.25
192,61,145,4,299.89,0.15
193,61,51,3,237.44,0.2
194,62,109,2,111.64,0.15
195,63,127,2,111.1,0.15
196,63,62,2,305.02,0.15
197,64,17,1,70.38,0.25
198,64,173,1,295.34,0.35
199,65,108,3,245.6,0.15
200,65,102,4,227.26,0.25
201,65,139,2,302.46,0.25
202,65,164,1,176.26,0.15
