product_id,product_name,category,subcategory,supplier_id,unit_cost,list_price,product_status
1,Accessories Product 001,Electronics,Accessories,12,141.66,255.66,Discontinued
2,Monitors Product 002,Electronics,Monitors,11,99.04,124.02,Active
3,Accessories Product 003,Electronics,Accessories,5,123.71,240.21,Active
4,Monitors Product 004,Electronics,Monitors,10,149.53,203.36,Discontinued
5,Audio Product 005,Electronics,Audio,14,184.4,381.79,Discontinued
6,Monitors Product 006,Electronics,Monitors,4,38.57,55.86,Active
7,Accessories Product 007,Electronics,Accessories,8,143.54,251.07,Active
8,Monitors Product 008,Electronics,Monitors,4,44.34,84.87,Active
9,Monitors Product 009,Electronics,Monitors,16,131.07,192.95,Discontinued
10,Laptops Product 010,Electronics,Laptops,1,215.77,485.93,Discontinued
11,Laptops Product 011,Electronics,Laptops,21,127.54,238.32,Active
12,Accessories Product 012,Electronics,Accessories,21,161.29,243.95,Active
13,Accessories Product 013,Electronics,Accessories,12,27.43,59.74,Active
14,Accessories Product 014,Electronics,Accessories,5,59.28,129.49,Active
15,Laptops Product 015,Electronics,Laptops,19,192.14,251.33,Active
16,Monitors Product 016,Electronics,Monitors,3,59.97,132.45,Active
17,Audio Product 017,Electronics,Audio,6,58.83,93.84,Discontinued
18,Monitors Product 018,Electronics,Monitors,12,57.17,129.21,Discontinued
19,Laptops Product 019,Electronics,Laptops,8,190.62,263.36,Active
20,Audio Product 020,Electronics,Audio,23,110.42,140.95,Active
21,Monitors Product 021,Electronics,Monitors,12,12.88,27.31,Discontinued
22,Audio Product 022,Electronics,Audio,8,72.18,96.26,Discontinued
23,Audio Product 023,Electronics,Audio,19,170.25,375.48,Discontinued
24,Accessories Product 024,Electronics,Accessories,6,183.01,419.37,Discontinued
25,Monitors Product 025,Electronics,Monitors,22,15.56,23.31,Active
26,Laptops Product 026,Electronics,Laptops,3,152.27,347.8,Discontinued
27,Laptops Product 027,Electronics,Laptops,1,60.66,109.88,Active
28,Monitors Product 028,Electronics,Monitors,16,180.84,407.97,Discontinued
29,Monitors Product 029,Electronics,Monitors,5,143.16,287.07,Active
30,Laptops Product 030,Electronics,Laptops,13,99.95,162.29,Active
31,Accessories Product 031,Electronics,Accessories,3,32.56,65.8,Active
32,Laptops Product 032,Electronics,Laptops,10,70.73,132.81,Active
33,Laptops Product 033,Electronics,Laptops,3,162.19,215.45,Active
34,Laptops Product 034,Electronics,Laptops,24,202.07,416.37,Discontinued
35,Audio Product 035,Electronics,Audio,4,30.33,54.1,Discontinued
36,Audio Product 036,Electronics,Audio,13,27.94,64.66,Discontinued
37,Furniture Product 037,Home,Furniture,11,108.25,223.95,Discontinued
38,Decor Product 038,Home,Decor,17,167.39,262.9,Active
39,Kitchen Product 039,Home,Kitchen,21,101.53,228.95,Active
40,Furniture Product 040,Home,Furniture,15,88.8,173.25,Active
41,Furniture Product 041,Home,Furniture,20,116.64,202.86,Active
42,Furniture Product 042,Home,Furniture,4,125.58,217.09,Active
43,Decor Product 043,Home,Decor,22,201.86,322.61,Discontinued
44,Kitchen Product 044,Home,Kitchen,4,203.69,280.19,Active
