return_id,order_id,product_id,quantity_returned,return_date,return_reason,return_status
1,927,81,3,2024-05-03,Wrong Item,Exchanged
2,5099,91,1,2024-07-20,Changed Mind,Refunded
3,5571,21,1,2024-08-23,Late Delivery,Exchanged
4,777,48,1,2025-08-15,Late Delivery,Refunded
5,5931,137,1,2025-06-05,Defective,Refunded
6,5043,8,1,2024-03-26,Changed Mind,Exchanged
7,2742,128,1,2025-11-26,Changed Mind,Exchanged
8,1397,3,2,2025-11-30,Damaged,Refunded
9,2971,30,2,2024-05-03,Defective,Exchanged
10,1516,80,3,2024-09-09,Changed Mind,Exchanged
11,635,131,2,2024-11-19,Changed Mind,Refunded
12,1447,87,1,2025-01-24,Wrong Item,Exchanged
13,5840,171,1,2024-07-09,Defective,Refunded
14,4615,60,3,2024-06-10,Defective,Refunded
15,4636,29,2,2025-11-14,Defective,Refunded
16,5566,43,2,2026-01-23,Wrong Item,Refunded
17,564,70,3,2024-08-05,Defective,Refunded
18,3653,140,2,2024-11-30,Defective,Exchanged
19,3698,157,1,2025-08-29,Defective,Exchanged
20,538,22,3,2025-09-06,Damaged,Refunded
21,716,177,1,2024-07-09,Late Delivery,Refunded
22,4184,40,2,2024-01-31,Defective,Exchanged
23,4304,81,1,2024-12-20,Damaged,Refunded
24,2372,144,3,2025-11-25,Damaged,Refunded
25,1466,135,2,2025-12-14,Defective,Refunded
26,2426,134,3,2025-02-09,Wrong Item,Exchanged
27,1505,94,1,2024-06-28,Wrong Item,Refunded
28,242,4,3,2024-05-27,Defective,Exchanged
29,5913,64,2,2025-04-18,Changed Mind,Refunded
30,3981,120,1,2025-07-01,Damaged,Refunded
31,963,11,2,2025-10-20,Wrong Item,Refunded
32,5249,159,1,2025-06-08,Wrong Item,Refunded
33,5007,180,2,2024-11-28,Changed Mind,Refunded
34,241,154,1,2025-12-29,Defective,Refunded
35,5789,16,1,2025-02-28,Defective,Exchanged
36,5574,48,1,2025-10-20,Changed Mind,Refunded
37,2984,33,1,2025-04-14,Changed Mind,Refunded
38,386,153,2,2024-04-22,Late Delivery,Refunded
39,1133,47,1,2024-11-09,Damaged,Refunded
40,5304,142,1,2025-12-05,Damaged,Refunded
41,5315,124,2,2025-10-12,Changed Mind,Refunded
42,1790,45,1,2025-06-02,Late Delivery,Refunded
43,204,164,4,2026-01-31,Defective,Refunded
44,3205,129,3,2025-10-03,Damaged,Refunded
45,187,101,3,2025-02-17,Defective,Refunded
46,2866,161,2,2025-10-03,Wrong Item,Exchanged
47,2797,44,1,2024-12-31,Wrong Item,Exchanged
48,2671,15,1,2024-01-25,Damaged,Refunded
49,234,137,1,2025-12-25,Changed Mind,Refunded
50,3656,142,1,2024-09-15,Changed Mind,Refunded
51,4553,176,3,2025-03-12,Defective,Exchanged
52,4158,2,1,2025-10-28,Late Delivery,Exchanged
53,286,24,2,2024-08-22,Late Delivery,Refunded
54,4017,166,1,2025-08-08,Wrong Item,Refunded
55,1266,152,1,2025-12-03,Damaged,Refunded
56,1132,119,3,2025-01-05,Defective,Refunded
57,3043,126,2,2025-04-11,Wrong Item,Refunded
58,5074,117,1,2025-08-11,Defective,Exchanged
59,4611,11,3,2025-06-28,Changed Mind,Refunded
60,5819,116,3,2025-03-05,Wrong Item,Refunded
61,98,106,3,2025-07-13,Wrong Item,Refunded
62,4470,85,1,2024-04-17,Late Delivery,Refunded
63,1708,136,3,2025-06-09,Wrong Item,Refunded
64,5845,4,2,2024-10-01,Changed Mind,Refunded
65,5265,152,4,2024-03-25,Defective,Refunded
66,1153,168,1,2025-12-03,Changed Mind,Refunded
67,5598,37,1,2024-05-20,Damaged,Exchanged
68,2286,177,1,2024-03-30,Changed Mind,Refunded
69,2209,75,3,2024-11-30,Changed Mind,Exchanged
70,3930,36,4,2025-07-20,Changed Mind,Refunded
71,1407,47,1,2024-09-14,Damaged,Refunded
72,810,117,4,2024-12-13,Wrong Item,Refunded
73,3201,139,1,2024-08-03,Damaged,Exchanged
74,3779,10,1,2024-07-06,Late Delivery,Refunded
75,2236,53,1,2025-12-19,Damaged,Refunded
76,2952,116,1,2025-07-17,Damaged,Exchanged
77,3434,129,1,2025-11-02,Changed Mind,Refunded
78,3007,18,2,2024-06-10,Defective,Exchanged
79,2881,140,1,2025-04-09,Damaged,Refunded
80,3664,111,2,2024-11-21,Defective,Refunded
81,1435,9,1,2024-03-13,Defective,Exchanged
82,3040,107,2,2025-12-01,Late Delivery,Refunded
83,931,122,1,2024-04-01,Damaged,Exchanged
84,5709,19,1,2024-08-09,Late Delivery,Exchanged
85,5776,169,1,2024-02-07,Changed Mind,Exchanged
86,884,150,2,2024-10-30,Defective,Refunded
87,2704,128,4,2025-07-30,Damaged,Exchanged
88,4241,71,2,2025-11-27,Changed Mind,Refunded
89,5911,149,1,2025-09-06,Late Delivery,Refunded
90,2130,147,4,2026-01-17,Late Delivery,Refunded
91,4899,101,2,2025-04-27,Wrong Item,Exchanged
92,2787,44,1,2025-10-25,Wrong Item,Refunded
93,5256,63,2,2025-08-07,Late Delivery,Exchanged
94,5863,126,1,2025-06-20,Late Delivery,Refunded
95,4663,175,3,2024-08-23,Damaged,Refunded
96,2212,3,2,2025-06-24,Late Delivery,Refunded
97,5980,122,1,2025-07-08,Late Delivery,Exchanged
98,4327,108,3,2024-09-24,Wrong Item,Refunded
99,2176,124,1,2025-01-17,Wrong Item,Refunded
100,5324,133,1,2024-10-29,Defective,Refunded
101,2473,46,1,2025-12-24,Defective,Refunded
102,654,163,1,2025-01-04,Damaged,Refunded
103,4059,84,1,2024-07-23,Wrong Item,Refunded
104,2034,144,1,2024-04-15,Defective,Exchanged
105,1843,153,3,2025-10-27,Wrong Item,Refunded
106,2860,28,4,2024-07-25,Defective,Refunded
107,4403,23,2,2025-03-15,Late Delivery,Refunded
108,710,83,3,2025-01-15,Changed Mind,Refunded
109,2800,46,2,2025-04-22,Changed Mind,Exchanged
110,4138,162,1,2025-04-24,Late Delivery,Exchanged
111,267,20,1,2025-08-28,Damaged,Refunded
112,4853,139,2,2024-06-09,Defective,Refunded
113,5369,95,2,2024-08-15,Defective,Exchanged
114,3463,97,3,2026-02-06,Wrong Item,Exchanged
115,4172,148,3,2025-02-01,Damaged,Exchanged
116,2574,60,1,2025-11-24,Late Delivery,Refunded
117,1740,127,1,2025-11-28,Defective,Refunded
118,524,149,1,2025-09-14,Changed Mind,Refunded
119,5150,93,1,2024-07-16,Defective,Refunded
120,2902,37,2,2024-08-18,Defective,Refunded
121,4940,180,1,2025-12-09,Wrong Item,Exchanged
122,5391,164,1,2024-01-19,Wrong Item,Refunded
123,5722,165,1,2024-01-14,Changed Mind,Refunded
124,3100,150,2,2024-08-16,Damaged,Exchanged
125,2849,57,2,2025-07-08,Changed Mind,Exchanged
126,1227,60,1,2025-04-07,Damaged,Exchanged
127,1149,64,1,2025-11-07,Defective,Exchanged
128,1243,179,2,2024-05-14,Damaged,Refunded
129,993,161,1,2026-01-19,Wrong Item,Refunded
130,1322,172,3,2025-11-27,Defective,Refunded
131,490,61,1,2024-11-13,Wrong Item,Exchanged
132,3211,101,2,2024-02-18,Late Delivery,Refunded
133,5140,154,3,2025-02-14,Damaged,Refunded
134,4126,168,2,2025-04-26,Wrong Item,Refunded
135,2143,114,2,2025-06-17,Wrong Item,Refunded
136,3778,24,2,2024-05-02,Late Delivery,Refunded
137,1252,91,1,2024-07-05,Damaged,Refunded
138,263,48,2,2025-10-02,Defective,Refunded
139,2623,49,3,2025-08-22,Changed Mind,Exchanged
140,1491,17,2,2024-01-22,Defective,Exchanged
141,1944,87,1,2025-09-18,Wrong Item,Refunded
142,807,132,1,2025-01-31,Defective,Refunded
143,4217,30,1,2026-01-19,Wrong Item,Refunded
144,2169,87,2,2025-01-28,Defective,Refunded
145,5436,71,1,2024-12-11,Damaged,Refunded
146,1675,121,2,2024-10-02,Defective,Exchanged
147,3357,4,1,2024-03-05,Late Delivery,Refunded
148,1852,147,3,2024-11-01,Damaged,Refunded
149,1985,139,1,2025-01-20,Damaged,Exchanged
150,233,110,2,2025-10-21,Wrong Item,Refunded
151,719,18,3,2024-02-16,Defective,Exchanged
152,468,61,1,2025-08-31,Changed Mind,Exchanged
153,571,72,2,2024-09-29,Defective,Refunded
154,1353,107,2,2024-07-21,Defective,Refunded
155,4943,64,2,2024-10-31,Changed Mind,Refunded
156,1413,61,2,2024-08-16,Wrong Item,Refunded
157,5721,158,2,2025-05-14,Changed Mind,Exchanged
158,949,91,3,2025-06-16,Defective,Exchanged
159,5646,122,1,2025-12-16,Changed Mind,Exchanged
160,3917,73,1,2024-05-15,Damaged,Refunded
161,1674,98,3,2025-09-20,Wrong Item,Refunded
162,5747,178,2,2025-04-25,Damaged,Refunded
163,1983,129,1,2024-03-10,Late Delivery,Refunded
164,1619,87,1,2024-05-27,Late Delivery,Refunded
165,4277,130,1,2025-02-20,Late Delivery,Exchanged
166,1014,174,1,2026-01-11,Damaged,Refunded
