store_id,store_name,city,state,store_format,square_feet,open_date
1,Store 01,Jersey City,NJ,Suburban,13301,2019-06-16
2,Store 02,Newark,NJ,Urban,12326,2017-07-07
3,Store 03,Allentown,PA,Suburban,15706,2020-07-28
4,Store 04,Rochester,NY,Urban,11775,2021-07-13
5,Store 05,Newark,NJ,Urban,8118,2017-11-10
6,Store 06,Rochester,NY,Urban,18028,2020-04-23
7,Store 07,Edison,NJ,Suburban,14440,2018-09-30
8,Store 08,Philadelphia,PA,Suburban,19055,2017-09-16
9,Store 09,Jersey City,NJ,Urban,17090,2020-09-12
10,Store 10,Philadelphia,PA,Urban,21722,2019-05-31
11,Store 11,Allentown,PA,Urban,9428,2019-12-26
12,Store 12,Jersey City,NJ,Urban,22610,2021-05-19
