supplier_id,supplier_name,supplier_type,state,avg_lead_time_days,on_time_rate
1,Supplier 01,Import,NY,7,0.917
2,Supplier 02,Import,NY,14,0.888
3,Supplier 03,Domestic,CT,9,0.899
4,Supplier 04,Import,CT,8,0.958
5,Supplier 05,Domestic,CT,23,0.885
6,Supplier 06,Domestic,NY,6,0.911
7,Supplier 07,Import,NY,6,0.891
8,Supplier 08,Import,NJ,10,0.905
9,Supplier 09,Import,NJ,13,0.953
10,Supplier 10,Domestic,NY,19,0.88
11,Supplier 11,Import,NJ,8,0.902
12,Supplier 12,Import,NY,16,0.917
13,Supplier 13,Import,PA,12,0.884
14,Supplier 14,Import,CT,7,0.897
15,Supplier 15,Domestic,NY,22,0.901
16,Supplier 16,Domestic,PA,17,0.935
17,Supplier 17,Import,CT,11,0.891
18,Supplier 18,Import,CT,14,0.887
19,Supplier 19,Import,MA,9,0.896
20,Supplier 20,Import,CT,9,0.953
21,Supplier 21,Domestic,NY,23,0.988
22,Supplier 22,Domestic,NY,8,0.968
23,Supplier 23,Domestic,NJ,12,0.944
24,Supplier 24,Import,PA,10,0.957
