table,column,type,description
customers,customer_id,int64,Operational field
customers,customer_name,object,Operational field
customers,segment,object,Operational field
customers,city,object,Operational field
customers,state,object,Operational field
customers,signup_date,object,Operational field
customers,acquisition_channel,object,Operational field
suppliers,supplier_id,int64,Operational field
suppliers,supplier_name,object,Operational field
suppliers,supplier_type,object,Operational field
suppliers,state,object,Operational field
suppliers,avg_lead_time_days,int64,Operational field
suppliers,on_time_rate,float64,Operational field
stores,store_id,int64,Operational field
stores,store_name,object,Operational field
stores,city,object,Operational field
stores,state,object,Operational field
stores,store_format,object,Operational field
stores,square_feet,int64,Operational field
stores,open_date,object,Operational field
employees,employee_id,int64,Operational field
employees,employee_name,object,Operational field
employees,store_id,int64,Operational field
employees,role,object,Operational field
employees,hire_date,object,Operational field
employees,employment_type,object,Operational field
products,product_id,int64,Operational field
products,product_name,object,Operational field
products,category,object,Operational field
products,subcategory,object,Operational field
products,supplier_id,int64,Operational field
products,unit_cost,float64,Operational field
products,list_price,float64,Operational field
products,product_status,object,Operational field
promotions,promotion_id,int64,Operational field
promotions,promotion_name,object,Operational field
promotions,promotion_type,object,Operational field
promotions,discount_rate,float64,Operational field
promotions,start_date,object,Operational field
promotions,end_date,object,Operational field
orders,order_id,int64,Operational field
orders,customer_id,int64,Operational field
orders,store_id,int64,Operational field
orders,employee_id,int64,Operational field
orders,order_date,object,Operational field
orders,channel,object,Operational field
orders,promotion_id,float64,Operational field
orders,order_status,object,Operational field
order_items,order_item_id,int64,Operational field
order_items,order_id,int64,Operational field
order_items,product_id,int64,Operational field
order_items,quantity,int64,Operational field
order_items,unit_price,float64,Operational field
order_items,discount_rate,float64,Operational field
shipments,shipment_id,int64,Operational field
shipments,order_id,int64,Operational field
shipments,ship_date,object,Operational field
shipments,promised_date,object,Operational field
shipments,delivery_date,object,Operational field
shipments,carrier,object,Operational field
shipments,shipping_cost,float64,Operational field
returns,return_id,int64,Operational field
returns,order_id,int64,Operational field
returns,product_id,int64,Operational field
returns,quantity_returned,int64,Operational field
returns,return_date,object,Operational field
returns,return_reason,object,Operational field
returns,return_status,object,Operational field
inventory,store_id,int64,Operational field
inventory,product_id,int64,Operational field
inventory,quantity_on_hand,int64,Operational field
inventory,reorder_point,int64,Operational field
inventory,target_stock,int64,Operational field
inventory,snapshot_date,object,Operational field
