store_id,revenue,gross_profit,store_name,state,margin_pct
2,696853.44,232180.52,Store 02,NJ,0.3331841484487757
7,693943.48,227743.43,Store 07,NJ,0.32818728983518947
12,674948.71,225228.4,Store 12,NJ,0.33369705973658353
6,677313.6,224882.09,Store 06,NY,0.33202063268772397
8,658528.51,222091.2,Store 08,PA,0.3372537356051601
1,660086.07,215444.13,Store 01,NJ,0.3263879360459766
11,655353.67,212170.75,Store 11,PA,0.32374999898909546
10,647254.64,210192.37,Store 10,PA,0.3247444776911912
9,654904.15,209855.11,Store 09,NJ,0.3204363722538634
3,637723.43,209772.46,Store 03,PA,0.3289395529971354
5,642055.3,208765.74,Store 05,NJ,0.32515227270921987
4,622865.92,205980.09,Store 04,NY,0.33069731925612494
